# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s);
# TX       = Maximum temperatuur (in 0.1 graden Celsius);
# DR       = Duur van de neerslag (in 0.1 uur);
#
# STN,YYYYMMDD,  FHX,   TX,   DR
#
  380,20180530,   30,  265,    0
  380,20180531,   40,  274,    6
  380,20180601,   50,  185,  118
  380,20180602,   50,  203,    0
  380,20180603,   40,  248,    0
  380,20180604,   60,  262,    0
  380,20180605,   50,  200,    0
  380,20180606,   50,  275,    0
  380,20180607,   40,  258,   31
  380,20180608,   40,  235,   16
  380,20180609,   30,  253,    0
  380,20180610,   50,  251,    0
  380,20180611,   70,  234,    0
  380,20180612,   60,  183,   22
  380,20180613,   50,  179,    0
  380,20180614,   60,  218,   19
  380,20180615,   40,  236,    0
  380,20180616,   50,  241,    0
  380,20180617,   60,  180,    0
  380,20180618,   60,  222,    0
  380,20180619,   50,  214,    0
  380,20180620,   40,  274,    0
  380,20180621,   70,  190,    0
  380,20180622,   60,  160,    0
  380,20180623,   30,  184,    0
  380,20180624,   40,  195,    0
  380,20180625,   40,  228,    0
  380,20180626,   50,  226,    0
  380,20180627,   70,  273,    0
  380,20180628,   60,  278,    0
  380,20180629,   60,  288,    0
  380,20180630,   60,  293,    0
  380,20180701,   80,  276,    0
  380,20180702,   60,  281,    0
  380,20180703,   40,  297,    0
  380,20180704,   30,  283,    4
  380,20180705,   40,  274,    0
  380,20180706,   30,  263,    0
  380,20180707,   50,  269,    0
  380,20180708,   50,  258,    0
  380,20180709,   50,  251,    0
  380,20180710,   50,  180,    0
  380,20180711,   50,  237,    0
  380,20180712,   40,  269,    0
  380,20180713,   30,  271,    0
  380,20180714,   50,  276,    0
  380,20180715,   40,  294,    0
  380,20180716,   40,  302,    0
  380,20180717,   50,  280,    0
  380,20180718,   40,  272,    0
  380,20180719,   40,  284,    0
  380,20180720,   40,  287,    0
  380,20180721,   50,  292,    0
  380,20180722,   30,  282,    0
  380,20180723,   30,  295,    0
  380,20180724,   60,  327,    0
  380,20180725,   50,  341,    0
  380,20180726,   50,  367,    0
  380,20180727,   40,  363,    0
  380,20180728,   70,  281,    6
  380,20180729,   70,  304,    0
  380,20180730,   50,  327,    0
  380,20180731,   60,  297,    0
  380,20180801,   50,  300,    0
  380,20180802,   40,  322,    0
  380,20180803,   50,  343,    0
  380,20180804,   70,  326,    0
  380,20180805,   50,  281,    0
  380,20180806,   30,  340,    0
  380,20180807,   50,  358,    0
  380,20180808,   70,  247,   25
  380,20180809,   90,  238,   18
  380,20180810,   70,  234,    0
  380,20180811,   50,  225,   10
  380,20180812,   50,  281,    0
  380,20180813,   60,  221,   50
  380,20180814,   40,  220,    7
  380,20180815,   50,  230,    0
  380,20180816,   40,  271,    0
  380,20180817,   40,  231,   31
  380,20180818,   40,  237,    0
  380,20180819,   50,  253,    0
  380,20180820,   30,  232,    0
  380,20180821,   30,  266,    0
  380,20180822,   30,  272,    0
  380,20180823,   50,  234,    4
  380,20180824,   50,  202,    1
  380,20180825,   50,  176,   23
  380,20180826,   60,  201,   23
  380,20180827,   70,  213,   21
  380,20180828,   30,  232,    0
  380,20180829,   60,  230,   15
  380,20180830,   50,  201,    0
  380,20180831,   40,  197,    0
  380,20180901,   50,  215,    0
  380,20180902,   50,  245,    0
  380,20180903,   30,  209,    0
  380,20180904,   40,  259,    0
  380,20180905,   40,  263,   43
  380,20180906,   30,  213,    5
  380,20180907,   50,  192,   11
  380,20180908,   60,  201,    0
  380,20180909,   50,  252,    0
  380,20180910,   40,  231,    0
  380,20180911,   80,  268,    0
  380,20180912,   60,  231,    8
  380,20180913,   40,  184,   21
  380,20180914,   40,  206,    0
  380,20180915,   40,  210,    0
  380,20180916,   40,  236,    0
  380,20180917,   40,  269,    0
  380,20180918,   70,  300,    0
  380,20180919,   90,  274,    0
  380,20180920,   70,  258,    0
  380,20180921,  100,  207,   17
  380,20180922,   60,  159,  107
  380,20180923,   70,  125,  131
  380,20180924,   50,  150,    8
  380,20180925,   30,  150,    0
  380,20180926,   30,  192,    0
  380,20180927,   40,  229,    0
  380,20180928,   60,  144,   15
